Latitud,Longitud
6.276,-73.585
6.729,-73.119
6.860,-73.526
6.595,-74.112
6.267,-73.618
6.835,-73.116
6.825,-73.131
6.721,-73.413
6.848,-72.895
6.787,-73.135
6.822,-73.094
6.699,-73.220
6.763,-73.034
6.792,-73.116
6.824,-73.154
6.800,-73.134
6.552,-73.520
6.831,-73.145
6.651,-73.082
6.929,-73.200
7.457,-73.162
6.838,-73.390
6.792,-73.158
6.843,-73.137
6.808,-73.006
6.827,-73.109
6.781,-73.115
6.800,-73.139
6.829,-73.148
7.569,-73.134
6.799,-73.183
6.777,-73.154
6.804,-73.048
6.063,-73.616
6.796,-73.144
6.823,-73.151
6.828,-73.143
6.752,-73.275
6.783,-73.131
6.764,-73.116
6.408,-73.395
6.775,-73.064
6.783,-73.140
6.824,-73.173
6.807,-73.096
6.783,-73.113
6.785,-73.138
6.890,-73.256
6.847,-73.122
6.794,-73.153
6.807,-73.175
6.360,-73.603
6.812,-73.139
6.849,-73.136
6.791,-73.184
6.759,-73.140
6.752,-73.222
6.822,-73.125
7.583,-73.214
6.777,-73.146
6.751,-73.154
6.793,-73.090
6.767,-73.090
6.781,-72.958
6.555,-73.435
6.799,-73.158
6.797,-73.133
6.818,-73.151
7.274,-73.423
6.714,-73.202
6.786,-73.081
6.622,-73.171
6.754,-73.094
6.803,-73.174
6.795,-73.169
6.797,-73.205
6.828,-73.284
6.837,-73.162
6.700,-73.231
6.823,-73.171
6.818,-73.171
6.776,-73.118
6.757,-73.055
6.747,-73.081
6.806,-73.158
6.774,-73.163
6.878,-73.280
6.776,-72.994
6.374,-73.692
6.788,-73.133
6.774,-73.162
5.897,-73.747
6.769,-73.125
6.735,-73.145
6.767,-73.139
6.816,-73.140
6.812,-73.153
6.709,-73.203
6.730,-73.139
6.337,-73.596
6.804,-73.178
6.748,-73.220
6.746,-73.090
6.067,-73.824
6.833,-73.171
6.826,-73.100
6.859,-73.185
6.805,-73.213
6.794,-73.114
6.785,-73.175
6.844,-73.305
6.742,-73.128
6.784,-73.124
6.779,-73.114
6.697,-73.445
6.812,-73.198
6.801,-73.110
6.780,-73.143
6.825,-73.182
6.816,-73.155
6.393,-73.663
6.777,-73.140
6.818,-73.127
6.815,-72.987
6.764,-73.091
6.785,-73.065
6.759,-73.108
6.779,-73.190
6.840,-73.121
6.817,-73.006
